#{"t_start": 1670900814.494702, "env_id": "Breakout-v0"}
r,l,t
3.0,380,1.449988
2.0,320,2.24843
1.0,251,2.840696
0.0,186,3.226843
2.0,293,4.044845
0.0,214,4.540827
1.0,261,5.214828
3.0,405,6.320836
0.0,191,6.726838
8.0,488,8.016827
0.0,194,8.444827
0.0,181,8.878826
1.0,260,9.468827
2.0,299,10.226838
0.0,190,10.650837
0.0,190,11.063017
1.0,232,11.599066
4.0,407,12.695322
4.0,395,13.733879
7.0,466,14.97944
2.0,288,15.642961
1.0,266,16.224962
2.0,275,16.918961
0.0,210,17.386961
2.0,292,18.110952
3.0,378,19.037344
6.0,527,20.333355
2.0,324,21.127355
1.0,271,21.70536
1.0,258,22.319139
5.0,443,23.486346
5.0,494,24.714431
0.0,196,25.152418
0.0,200,25.544428
2.0,297,26.298373
0.0,183,26.720374
0.0,189,27.112379
1.0,284,27.786374
0.0,220,28.256364
0.0,208,28.730366
2.0,312,29.565368
1.0,268,30.185587
2.0,298,30.885122
2.0,281,31.531108
0.0,190,31.977359
2.0,316,32.795347
3.0,387,33.80935
2.0,329,34.575932
2.0,329,35.469923
2.0,295,36.151937
1.0,257,36.809922
1.0,255,37.46484
1.0,261,38.111059
3.0,380,39.087285
2.0,320,39.849461
2.0,323,40.630167
0.0,203,41.064176
2.0,288,41.804168
2.0,309,42.58976
0.0,189,42.987754
3.0,342,43.769784
0.0,178,44.141783
4.0,414,45.255782
1.0,263,45.899793
2.0,298,46.605323
1.0,262,47.219327
0.0,225,47.599314
2.0,319,48.417312
1.0,241,48.957322
2.0,295,49.621312
0.0,214,50.109309
0.0,207,50.518906
4.0,374,51.518907
0.0,207,51.964906
4.0,422,53.115127
3.0,381,54.091118
2.0,309,54.829129
1.0,269,55.499127
1.0,250,56.057126
1.0,275,56.655117
3.0,364,57.531117
0.0,205,57.995116
2.0,306,58.757126
5.0,484,60.043118
1.0,272,60.62152
0.0,198,61.117855
4.0,428,62.239855
1.0,268,62.879846
1.0,242,63.477858
1.0,246,64.093844
1.0,259,64.723847
1.0,270,65.347846
2.0,339,66.201848
2.0,280,66.961847
2.0,301,67.665876
0.0,198,68.093863
1.0,251,68.723865
0.0,210,69.189865
1.0,263,69.851865
1.0,245,70.409863
2.0,294,71.092448
0.0,178,71.496505
2.0,315,72.294497
1.0,288,73.026486
2.0,333,73.820485
0.0,210,74.240491
1.0,249,74.854486
2.0,306,75.534484
2.0,287,76.232484
3.0,338,77.118486
2.0,287,77.850495
0.0,214,78.278495
0.0,176,78.652486
1.0,238,79.190486
0.0,200,79.640522
2.0,312,80.414527
2.0,289,81.136151
0.0,192,81.550145
2.0,315,82.252576
1.0,272,82.862568
1.0,246,83.443583
2.0,322,84.259594
1.0,247,84.857582
1.0,222,85.363758
4.0,413,86.391748
0.0,191,86.83375
0.0,199,87.257026
0.0,206,87.66701
3.0,353,88.56301
3.0,383,89.711007
3.0,334,90.586468
1.0,237,91.175002
2.0,304,91.915011
1.0,228,92.449006
2.0,309,93.149352
0.0,181,93.553362
1.0,275,94.163084
0.0,195,94.547081
4.0,430,95.755081
4.0,400,96.827083
2.0,319,97.589081
2.0,318,98.433092
1.0,249,99.051098
0.0,201,99.437093
3.0,376,100.415425
0.0,199,100.867425
0.0,205,101.257423
1.0,267,101.867425
1.0,254,102.517425
3.0,361,103.379435
2.0,314,104.206508
1.0,226,104.74051
0.0,208,105.142511
1.0,255,105.77651
2.0,301,106.496509
1.0,227,107.024509
0.0,202,107.454509
4.0,410,108.60651
2.0,328,109.404509
1.0,268,110.086232
2.0,284,110.8273
3.0,360,111.725297
3.0,325,112.531791
3.0,377,113.432117
2.0,304,114.176124
3.0,373,115.100336
0.0,216,115.578339
2.0,289,116.288336
0.0,198,116.716341
0.0,186,117.136054
1.0,262,117.741183
1.0,261,118.35518
2.0,312,119.155183
2.0,307,119.889182
0.0,199,120.271195
0.0,206,120.721232
2.0,302,121.499501
4.0,410,122.61584
0.0,178,122.999857
2.0,329,123.813854
0.0,212,124.277843
2.0,309,125.013842
1.0,247,125.635842
1.0,248,126.270265
0.0,202,126.667274
3.0,397,127.73048
3.0,373,128.664876
4.0,428,129.731061
0.0,221,130.210152
0.0,208,130.65615
3.0,381,131.630162
3.0,383,132.652162
2.0,315,133.422161
2.0,303,134.224162
1.0,231,134.758151
0.0,208,135.226152
0.0,214,135.672163
0.0,203,136.118152
3.0,377,137.084241
3.0,350,137.984232
0.0,209,138.394241
