#{"t_start": 1670871021.089623, "env_id": "Breakout-v0"}
r,l,t
1.0,254,0.676002
8.0,513,2.032011
0.0,194,2.468011
3.0,373,3.406002
0.0,190,3.85
0.0,200,4.270002
2.0,321,5.092002
1.0,250,5.682002
1.0,237,6.226017
7.0,554,7.644018
1.0,262,8.292011
4.0,395,9.290012
1.0,233,9.898002
3.0,359,10.756013
0.0,202,11.170011
2.0,318,11.902011
1.0,253,12.460002
2.0,316,13.154002
2.0,330,13.892012
1.0,274,14.510013
2.0,307,15.234002
3.0,366,16.094014
1.0,266,16.676012
2.0,304,17.38
1.0,232,17.862012
3.0,323,18.610013
3.0,354,19.424011
5.0,440,20.608
2.0,292,21.294002
3.0,356,22.116012
3.0,382,23.032003
0.0,193,23.454
2.0,295,24.214011
1.0,271,24.794011
0.0,197,25.218002
2.0,293,25.944002
1.0,235,26.434012
3.0,330,27.312002
2.0,306,27.99
1.0,237,28.510012
0.0,197,28.892018
3.0,351,29.770013
2.0,323,30.556
0.0,218,30.974001
2.0,326,31.728
1.0,248,32.326018
1.0,235,32.822002
0.0,185,33.25
2.0,319,34.022002
2.0,274,34.702002
0.0,216,35.178002
1.0,240,35.716002
0.0,194,36.100002
3.0,384,37.026003
1.0,277,37.660001
4.0,411,38.670002
3.0,354,39.588
1.0,269,40.206002
3.0,347,41.082002
4.0,419,42.140011
0.0,207,42.518015
2.0,314,43.216002
1.0,234,43.750003
1.0,228,44.184002
1.0,252,44.760011
3.0,357,45.648002
2.0,307,46.352012
0.0,201,46.752002
3.0,343,47.644012
1.0,247,48.260002
2.0,329,49.024476
2.0,281,49.748476
1.0,263,50.324492
5.0,462,51.500493
2.0,334,52.272474
0.0,208,52.710476
2.0,307,53.430474
2.0,296,54.144486
1.0,252,54.692474
3.0,340,55.542493
0.0,186,55.952486
2.0,322,56.700486
1.0,250,57.274474
3.0,373,58.252476
0.0,186,58.730487
1.0,244,59.214492
4.0,411,60.234486
1.0,254,60.834474
0.0,201,61.306476
2.0,309,62.086476
1.0,250,62.644474
2.0,309,63.366474
1.0,248,63.946477
3.0,352,64.844477
1.0,246,65.440485
0.0,207,65.868476
0.0,218,66.332476
0.0,198,66.728476
5.0,490,68.044478
3.0,350,68.946485
0.0,210,69.372476
0.0,198,69.762486
1.0,269,70.330486
1.0,225,70.866487
2.0,282,71.580476
1.0,242,72.064477
1.0,255,72.708476
3.0,385,73.626485
0.0,193,74.070487
2.0,277,74.730476
0.0,198,75.136486
5.0,510,76.526476
0.0,186,76.904476
0.0,186,77.298487
