#{"t_start": 1670908895.3602335, "env_id": "Breakout-v0"}
r,l,t
3.0,380,1.419963
2.0,320,2.211131
1.0,251,2.79855
0.0,186,3.16854
2.0,293,3.947102
0.0,214,4.431925
1.0,261,5.083853
3.0,405,6.157813
0.0,191,6.581805
8.0,488,7.833606
0.0,194,8.254381
0.0,181,8.653955
1.0,260,9.233982
2.0,299,9.972968
0.0,190,10.396969
0.0,190,10.807764
1.0,232,11.351756
4.0,407,12.428003
4.0,395,13.436964
7.0,466,14.689903
2.0,288,15.347737
1.0,266,15.921724
2.0,275,16.598221
0.0,210,17.062581
2.0,292,17.802569
3.0,378,18.714569
6.0,527,19.981318
2.0,324,20.778464
1.0,271,21.351378
1.0,258,21.963237
5.0,443,23.100065
5.0,494,24.351566
0.0,196,24.78957
0.0,200,25.181566
2.0,297,25.911583
0.0,183,26.327966
0.0,189,26.726024
1.0,284,27.407459
0.0,220,27.871468
0.0,208,28.341594
2.0,312,29.153604
1.0,268,29.766382
2.0,298,30.473193
2.0,281,31.097194
0.0,190,31.491193
2.0,316,32.285193
3.0,387,33.299258
2.0,329,34.061258
2.0,329,34.929346
2.0,295,35.596305
1.0,257,36.258306
1.0,255,36.912305
1.0,261,37.546305
3.0,380,38.493972
2.0,320,39.242087
2.0,323,40.027614
0.0,203,40.449695
2.0,288,41.173579
2.0,309,41.935307
0.0,189,42.325315
3.0,342,43.121331
0.0,178,43.483305
4.0,414,44.572083
1.0,263,45.207012
2.0,298,45.921942
1.0,262,46.531943
0.0,225,46.907952
2.0,319,47.696857
1.0,241,48.23096
2.0,295,48.894953
0.0,214,49.386595
0.0,207,49.790499
4.0,374,50.764637
0.0,207,51.200824
4.0,422,52.356824
3.0,381,53.322826
2.0,309,54.041808
1.0,269,54.703737
1.0,250,55.26757
1.0,275,55.869566
3.0,364,56.738359
0.0,205,57.182358
2.0,306,57.936425
5.0,484,59.218491
1.0,272,59.788294
0.0,198,60.268292
4.0,428,61.379806
1.0,268,62.036257
1.0,242,62.628849
1.0,246,63.216848
1.0,259,63.838683
1.0,270,64.458686
2.0,339,65.325077
2.0,280,66.072235
2.0,301,66.75222
0.0,198,67.182235
1.0,251,67.802221
0.0,210,68.279973
1.0,263,68.93399
1.0,245,69.471971
2.0,294,70.146302
0.0,178,70.546302
2.0,315,71.356313
1.0,288,72.076353
2.0,333,72.852366
0.0,210,73.264353
1.0,249,73.875447
2.0,306,74.567457
2.0,287,75.257458
3.0,338,76.119458
2.0,287,76.843451
0.0,214,77.26945
0.0,176,77.655457
1.0,238,78.189447
0.0,200,78.627449
2.0,312,79.382192
2.0,289,80.096194
0.0,192,80.50821
2.0,315,81.220194
1.0,272,81.828192
1.0,246,82.384194
2.0,322,83.196194
1.0,247,83.806217
1.0,222,84.309634
4.0,413,85.310357
0.0,191,85.748382
0.0,199,86.170357
0.0,206,86.577199
3.0,353,87.4772
3.0,383,88.535655
3.0,334,89.40463
1.0,237,89.984319
2.0,304,90.737937
1.0,228,91.261314
2.0,309,91.949094
0.0,181,92.351085
1.0,275,92.951085
0.0,195,93.351086
4.0,430,94.52983
4.0,400,95.585758
2.0,319,96.343798
2.0,318,97.183792
1.0,249,97.782709
0.0,201,98.167572
3.0,376,99.223312
0.0,199,99.705311
0.0,205,100.113311
1.0,267,100.729318
1.0,254,101.404638
3.0,361,102.286742
2.0,314,103.124733
1.0,226,103.652742
0.0,208,104.04682
1.0,255,104.663921
2.0,301,105.374942
1.0,227,105.898951
0.0,202,106.346941
4.0,410,107.472497
2.0,328,108.258819
1.0,268,108.938892
2.0,284,109.694894
3.0,360,110.572619
3.0,325,111.374546
3.0,377,112.263702
2.0,304,113.02272
3.0,373,113.926237
0.0,216,114.402241
2.0,289,115.103792
0.0,198,115.537796
0.0,186,115.959791
1.0,262,116.557792
1.0,261,117.149295
2.0,312,117.939305
2.0,307,118.687331
0.0,199,119.077345
0.0,206,119.523579
2.0,302,120.268558
4.0,410,121.374567
0.0,178,121.756557
2.0,329,122.582556
0.0,212,123.026476
2.0,309,123.743089
1.0,247,124.360953
1.0,248,124.996945
0.0,202,125.406942
3.0,397,126.441169
3.0,373,127.367582
4.0,428,128.43957
0.0,221,128.90957
0.0,208,129.333611
3.0,381,130.296459
3.0,383,131.319014
2.0,315,132.090388
2.0,303,132.864892
1.0,231,133.393502
0.0,208,133.855502
0.0,214,134.301502
0.0,203,134.757503
3.0,377,135.702987
3.0,350,136.585031
0.0,209,136.988151
2.0,299,137.677367
0.0,206,138.163346
3.0,378,139.070128
3.0,333,139.89012
5.0,486,141.228135
0.0,207,141.646119
3.0,329,142.426894
5.0,456,143.690601
1.0,256,144.242151
1.0,266,144.860065
1.0,270,145.503231
1.0,255,146.063802
1.0,246,146.645801
5.0,482,147.924118
3.0,364,148.896945
2.0,291,149.592568
4.0,422,150.619758
3.0,346,151.49155
1.0,267,152.089782
4.0,459,153.287779
2.0,283,153.951605
4.0,433,155.018604
0.0,203,155.376993
1.0,257,155.918342
0.0,213,156.368251
0.0,211,156.854236
2.0,270,157.573647
3.0,386,158.557799
2.0,283,159.290987
1.0,263,159.886966
2.0,320,160.754963
0.0,201,161.234965
0.0,200,161.820964
0.0,196,162.256967
0.0,194,162.648965
1.0,278,163.548966
1.0,230,164.112971
2.0,319,165.142963
3.0,357,166.298965
3.0,370,167.402966
2.0,320,168.298966
1.0,274,169.018966
3.0,362,170.056965
0.0,204,170.496963
0.0,193,171.052967
0.0,187,171.476964
0.0,201,171.940963
1.0,237,172.662966
2.0,289,173.478965
1.0,262,174.262965
4.0,394,175.438963
2.0,298,176.204966
0.0,183,176.630963
0.0,195,177.250972
2.0,288,178.033736
2.0,321,178.927739
1.0,234,179.47774
2.0,295,180.337738
0.0,213,180.809737
0.0,180,181.259736
3.0,372,182.461736
0.0,200,183.091739
0.0,183,183.519736
1.0,255,184.153737
1.0,246,184.881738
0.0,215,185.369736
1.0,276,186.177737
1.0,276,186.835739
0.0,208,187.287737
0.0,202,187.887735
1.0,259,188.547735
1.0,249,189.327738
0.0,193,189.783737
0.0,202,190.183738
2.0,298,191.077738
2.0,330,192.107738
3.0,334,193.037738
0.0,191,193.585735
2.0,302,194.447737
1.0,266,195.241737
2.0,286,196.003737
1.0,248,196.751737
2.0,321,197.613737
5.0,426,198.973737
0.0,198,199.571737
2.0,315,200.435736
0.0,193,200.893737
1.0,281,201.829737
1.0,235,202.389736
3.0,351,203.529735
3.0,370,204.727736
0.0,202,205.191741
3.0,357,206.233736
2.0,281,207.003737
0.0,189,207.579737
3.0,393,208.727736
0.0,198,209.143739
1.0,252,209.863735
3.0,345,210.923738
1.0,246,211.61574
3.0,381,212.775735
1.0,269,213.563736
2.0,298,214.271738
0.0,184,214.797742
1.0,245,215.43174
0.0,181,215.893736
1.0,222,216.591737
0.0,205,217.107737
0.0,185,217.593738
1.0,255,218.339737
1.0,273,219.067739
1.0,255,219.853738
0.0,208,220.359739
0.0,186,220.771738
5.0,497,222.343738
2.0,281,223.197738
2.0,302,224.099739
2.0,286,224.863736
2.0,281,225.771737
2.0,281,226.605736
0.0,204,227.14574
4.0,443,228.479739
0.0,174,228.901735
1.0,253,229.565741
2.0,304,230.481738
2.0,340,231.543736
0.0,191,232.019737
3.0,353,233.173736
4.0,442,234.623736
3.0,378,235.707737
0.0,185,236.279739
2.0,342,237.227736
3.0,358,238.329741
1.0,250,238.987736
10.0,610,241.059738
0.0,207,241.525737
6.0,350,242.605735
2.0,282,243.413737
0.0,212,243.985738
1.0,282,244.649738
0.0,218,245.13574
0.0,188,245.711736
0.0,196,246.199737
0.0,189,246.637736
1.0,235,247.385741
3.0,330,248.407737
0.0,199,248.875737
0.0,184,249.307736
0.0,206,249.897738
1.0,239,250.50974
0.0,191,251.001736
1.0,264,251.851739
0.0,201,252.275738
3.0,338,253.34774
1.0,240,253.955738
3.0,387,255.079738
0.0,186,255.555737
3.0,324,256.607737
0.0,212,257.131736
0.0,206,257.749736
1.0,224,258.289736
1.0,244,259.005736
2.0,316,260.005736
2.0,309,260.917737
3.0,361,261.979748
1.0,260,262.777738
4.0,403,264.079737
2.0,291,264.817739
0.0,212,265.451738
1.0,259,266.175737
2.0,290,267.075737
0.0,200,267.541738
0.0,189,268.033739
4.0,438,269.319737
2.0,319,270.297735
0.0,211,270.815741
3.0,331,271.823735
0.0,195,272.307736
1.0,270,273.107736
2.0,285,273.867738
1.0,272,274.677737
1.0,276,275.375738
2.0,291,276.303739
0.0,192,276.795737
0.0,206,277.329738
2.0,327,278.335738
1.0,255,279.037737
2.0,286,279.903737
2.0,294,280.891737
1.0,279,281.599737
0.0,207,282.091737
0.0,189,282.695736
2.0,309,283.543739
4.0,424,284.825736
0.0,170,285.345738
1.0,246,285.973737
1.0,247,286.593738
2.0,278,287.451737
0.0,185,287.925738
2.0,312,288.941737
7.0,354,290.105739
1.0,241,290.717736
2.0,261,291.379735
1.0,221,292.069737
2.0,297,292.883739
4.0,419,294.197743
1.0,229,294.933736
0.0,201,295.391737
1.0,252,295.993737
2.0,317,297.037737
2.0,329,298.07974
0.0,204,298.651739
2.0,260,299.511735
1.0,227,300.167738
1.0,260,300.943739
3.0,332,301.847735
2.0,347,303.015738
3.0,360,304.149736
1.0,263,304.783737
4.0,427,306.063736
2.0,295,306.865736
2.0,340,307.857738
1.0,230,308.617738
3.0,372,309.651736
3.0,350,310.745737
3.0,398,311.873737
2.0,280,312.639736
4.0,434,313.941739
3.0,395,315.201739
2.0,332,316.197738
2.0,295,316.989736
2.0,285,317.873739
2.0,314,318.727737
1.0,250,319.529737
0.0,217,320.069736
0.0,176,320.623738
1.0,263,321.287736
0.0,185,321.741739
1.0,264,322.543736
1.0,271,323.205735
0.0,182,323.775737
2.0,321,324.623739
3.0,360,325.76174
0.0,193,326.23174
2.0,330,327.177738
