#{"t_start": 1671045572.169811, "env_id": "Breakout-v0"}
r,l,t
1.0,247,1.686025
3.0,340,2.899049
2.0,286,3.93759
1.0,288,4.945249
1.0,235,5.810371
1.0,262,6.791939
1.0,263,7.632475
1.0,245,8.494041
3.0,340,9.624039
1.0,233,10.379038
0.0,198,11.020042
0.0,173,11.509065
2.0,321,12.450068
2.0,285,13.422072
1.0,242,14.213593
1.0,253,14.902597
3.0,348,16.025099
1.0,231,16.762724
1.0,227,17.489723
3.0,367,18.706352
2.0,323,19.680936
2.0,324,20.773484
2.0,327,21.82502
1.0,263,22.685047
1.0,277,23.473045
3.0,339,24.576071
4.0,420,25.955173
4.0,414,27.420149
2.0,341,28.463146
0.0,192,29.007299
0.0,191,29.500356
2.0,296,30.554891
1.0,253,31.311448
0.0,197,31.854959
3.0,355,33.06505
1.0,244,33.881596
1.0,260,34.677966
0.0,199,35.195995
2.0,296,36.157017
2.0,306,272.634848
1.0,245,273.391944
2.0,300,274.321512
2.0,297,275.227039
2.0,325,276.329117
0.0,176,276.851122
1.0,275,277.654628
1.0,253,278.479631
3.0,322,279.476269
3.0,378,280.748679
2.0,317,281.76971
2.0,301,282.733283
1.0,263,283.594282
0.0,204,284.165861
0.0,216,284.813429
0.0,192,285.352456
0.0,183,285.88397
1.0,250,286.566497
1.0,257,287.338508
2.0,319,288.227533
0.0,189,288.793637
6.0,482,290.576632
1.0,272,291.359149
2.0,346,292.46673
2.0,307,293.446299
0.0,205,293.971263
2.0,292,294.929307
1.0,260,295.75535
2.0,316,296.76534
1.0,262,297.570421
6.0,575,299.69202
2.0,294,300.63354
1.0,227,301.343531
0.0,203,301.881532
3.0,366,303.098577
0.0,197,303.622635
1.0,251,304.428635
2.0,305,305.396728
1.0,256,540.224879
0.0,210,540.770905
0.0,192,541.26093
4.0,436,542.698955
2.0,296,543.619986
2.0,308,544.60998
2.0,307,545.576493
2.0,290,546.511496
3.0,383,547.761731
2.0,277,548.574756
2.0,289,549.502748
5.0,455,551.018338
2.0,304,551.962877
1.0,253,552.742889
2.0,328,553.789884
0.0,179,554.33989
1.0,256,555.107884
10.0,550,557.074933
0.0,202,557.60094
2.0,301,558.505486
1.0,239,559.232994
1.0,253,560.042558
1.0,258,560.834064
3.0,352,562.026623
4.0,419,563.489167
4.0,421,565.005166
4.0,379,566.279198
2.0,325,567.413329
2.0,299,568.387327
2.0,298,569.393879
1.0,260,570.071863
2.0,298,571.008891
5.0,489,572.74589
2.0,317,811.038449
5.0,437,812.498449
1.0,258,813.25348
0.0,191,813.822477
0.0,202,814.359024
5.0,479,816.015175
3.0,342,817.045689
2.0,304,818.041727
0.0,174,818.541243
3.0,356,819.62228
2.0,316,820.627311
1.0,266,821.462304
2.0,292,822.39836
7.0,602,824.480903
3.0,370,825.651899
3.0,357,826.695041
3.0,389,828.082815
2.0,337,829.191816
3.0,369,830.340368
1.0,270,831.121441
2.0,288,832.084503
1.0,245,832.945045
2.0,300,833.782576
1.0,270,834.582092
3.0,335,835.631093
0.0,209,836.180085
2.0,296,837.056107
2.0,298,838.09216
0.0,192,838.619674
2.0,331,839.635113
2.0,328,840.674684
2.0,292,841.540199
1.0,253,842.314197
4.0,405,843.719198
4.0,405,1078.794387
2.0,286,1079.583958
0.0,189,1080.1705
