#{"t_start": 1670989387.191519, "env_id": "Breakout-v0"}
r,l,t
1.0,238,1.686001
0.0,191,2.249
0.0,182,2.853512
1.0,239,3.662053
2.0,313,4.852157
1.0,248,5.620669
1.0,288,6.563182
0.0,209,7.135183
4.0,406,8.506711
5.0,418,9.97373
0.0,185,10.485801
5.0,468,12.086798
0.0,184,12.604801
0.0,188,13.1258
0.0,194,13.659821
2.0,291,14.611882
0.0,207,15.19488
2.0,322,16.199883
1.0,275,17.051936
3.0,354,18.118393
0.0,198,18.675532
2.0,340,19.688043
2.0,296,20.582552
0.0,199,21.163063
2.0,324,22.280079
3.0,356,23.458609
1.0,224,24.095608
0.0,193,24.591609
3.0,322,25.598679
4.0,415,26.952197
0.0,187,27.458195
4.0,420,28.827217
0.0,198,29.329218
0.0,193,29.895729
2.0,332,30.937235
1.0,272,31.734237
0.0,188,32.270235
0.0,205,32.798236
3.0,388,34.087745
2.0,338,241.141569
5.0,450,242.61608
5.0,480,244.233105
5.0,492,245.758102
2.0,329,246.77714
4.0,413,248.04814
3.0,366,249.261163
1.0,277,250.09921
1.0,264,250.861209
2.0,301,251.799207
0.0,189,252.305209
5.0,487,253.845208
2.0,294,254.756208
2.0,321,255.676842
2.0,307,256.65184
3.0,378,257.82813
2.0,275,258.746306
0.0,188,259.267307
2.0,325,260.298307
1.0,256,261.010387
2.0,310,261.976416
7.0,508,263.665455
0.0,206,264.195454
0.0,199,264.719454
2.0,319,265.713523
2.0,294,266.55052
0.0,186,267.064521
3.0,379,268.209521
0.0,208,268.787523
3.0,341,270.097521
3.0,386,271.415541
0.0,183,271.944545
1.0,281,272.753586
1.0,278,273.577588
1.0,269,485.56635
2.0,329,486.527348
2.0,317,487.431348
6.0,509,489.058348
4.0,396,490.30535
5.0,458,491.73735
5.0,494,493.308352
2.0,322,494.368349
2.0,303,495.233348
2.0,283,496.081367
5.0,447,497.520368
4.0,391,498.743875
4.0,403,500.049391
2.0,278,500.882834
2.0,316,501.820049
4.0,383,503.069286
2.0,319,504.10843
4.0,446,505.468487
4.0,436,506.859759
2.0,289,507.757848
4.0,415,509.073849
2.0,288,509.968848
5.0,439,511.420849
3.0,369,512.518849
1.0,248,513.163848
3.0,364,514.283847
3.0,354,515.354849
3.0,370,719.456532
5.0,400,720.652533
8.0,590,722.581532
5.0,408,723.848533
1.0,261,724.583533
3.0,345,725.576535
7.0,584,727.464533
4.0,425,728.694533
5.0,466,730.113532
4.0,419,731.358535
2.0,290,732.158532
3.0,343,733.214536
1.0,259,733.914535
5.0,426,735.269532
11.0,618,737.219532
3.0,370,738.312536
5.0,437,739.640533
3.0,368,740.727533
5.0,431,742.059533
8.0,653,744.184532
1.0,246,744.814532
4.0,439,746.136533
4.0,397,747.313532
5.0,509,748.894532
2.0,266,956.533045
9.0,691,958.778359
3.0,385,959.979361
6.0,510,961.640361
7.0,583,963.498359
3.0,322,964.446359
6.0,510,966.10436
7.0,560,967.959361
4.0,394,969.17136
8.0,605,971.13536
4.0,365,972.218359
4.0,383,973.364361
4.0,375,974.58036
1.0,252,975.243359
7.0,584,977.160358
6.0,496,978.79336
6.0,516,980.388359
4.0,421,981.659361
4.0,402,982.834389
6.0,531,984.474388
5.0,441,985.767387
8.0,620,1193.603544
3.0,366,1194.687054
7.0,552,1196.424056
7.0,535,1198.115056
5.0,408,1199.316055
2.0,287,1200.158055
9.0,648,1202.219055
7.0,588,1204.059055
4.0,401,1205.216057
6.0,514,1206.815055
7.0,564,1208.602054
8.0,602,1210.49606
6.0,547,1212.222056
6.0,503,1213.814054
6.0,489,1215.247055
