#{"t_start": 1671033146.2011645, "env_id": "Breakout-v0"}
r,l,t
2.0,313,1.152006
1.0,278,1.892003
1.0,241,2.578
2.0,317,3.579864
0.0,214,4.117867
3.0,409,5.320316
3.0,351,6.570315
1.0,272,7.426313
2.0,285,8.266314
0.0,207,8.748316
6.0,515,10.427497
0.0,210,11.059495
1.0,271,11.769495
0.0,200,12.299496
0.0,188,12.779495
1.0,255,13.55478
1.0,252,14.322783
2.0,281,15.19878
1.0,241,15.932781
3.0,411,17.248781
1.0,233,17.93678
7.0,582,19.884781
1.0,250,20.622778
2.0,305,21.492779
1.0,251,22.270781
1.0,254,23.00078
7.0,561,24.909861
4.0,437,26.297864
2.0,290,27.161861
0.0,218,27.731859
0.0,196,28.321861
1.0,273,29.077858
3.0,367,30.18986
1.0,241,30.85386
4.0,416,32.22786
1.0,261,261.050903
2.0,288,261.992901
0.0,207,262.545901
0.0,208,263.241041
4.0,448,264.750179
2.0,319,265.77018
0.0,172,266.223179
2.0,328,267.218179
5.0,512,268.981179
4.0,426,270.532179
2.0,285,271.484181
2.0,278,272.427334
0.0,201,272.989333
0.0,190,273.454332
2.0,306,274.512851
1.0,261,275.22385
4.0,411,276.652849
4.0,387,277.879848
1.0,271,278.669849
1.0,264,279.50385
1.0,260,280.285849
2.0,279,281.220849
3.0,357,282.440848
6.0,542,284.227849
0.0,176,284.764849
2.0,310,285.779851
2.0,276,286.64785
2.0,303,287.54885
1.0,235,288.152849
0.0,193,288.76685
2.0,281,289.66785
1.0,252,290.50685
4.0,428,291.877849
1.0,248,292.629849
2.0,278,293.583849
2.0,309,530.690721
3.0,393,532.015719
7.0,607,534.137721
4.0,390,535.45072
1.0,281,536.278721
4.0,417,537.624719
2.0,281,538.494721
3.0,357,539.593721
1.0,262,540.362721
0.0,184,540.87772
4.0,416,542.21772
4.0,472,543.827722
0.0,193,544.320722
4.0,396,545.602719
4.0,394,546.834723
0.0,188,547.302721
3.0,381,548.627721
3.0,333,549.715719
2.0,294,550.655722
6.0,526,552.497721
3.0,368,553.627719
1.0,260,554.381722
0.0,217,554.945721
4.0,391,556.226719
2.0,290,557.189721
5.0,451,558.720721
3.0,346,559.83872
1.0,251,560.485722
7.0,506,562.334721
1.0,261,563.051719
5.0,448,795.222349
4.0,421,796.527347
2.0,275,797.394347
6.0,513,799.034349
4.0,431,800.40735
2.0,330,801.423347
5.0,503,803.08635
4.0,398,804.422858
4.0,433,805.825858
4.0,410,807.137371
3.0,347,808.300371
3.0,368,809.41037
4.0,440,810.82737
3.0,375,811.99037
6.0,498,813.681909
3.0,327,814.72191
3.0,347,815.81391
1.0,245,816.567909
4.0,369,817.71891
0.0,210,818.34291
3.0,332,819.36591
3.0,384,820.515909
5.0,477,822.068909
8.0,630,824.204422
4.0,359,825.432423
5.0,443,1057.352152
4.0,421,1058.666151
5.0,469,1060.223151
7.0,549,1062.063153
7.0,606,1064.089237
5.0,475,1065.698237
8.0,604,1067.685237
8.0,645,1069.829237
1.0,252,1070.449244
7.0,507,1072.23624
9.0,588,1074.221236
4.0,385,1075.555237
8.0,640,1077.593237
5.0,462,1079.078237
3.0,368,1080.221237
2.0,335,1081.273238
3.0,330,1082.327237
5.0,478,1083.823236
0.0,187,1084.278238
4.0,443,1085.642236
3.0,338,1086.708239
3.0,344,1087.725239
3.0,362,1309.126805
6.0,497,1310.638805
6.0,513,1312.280803
5.0,480,1313.846805
7.0,595,1315.658804
6.0,545,1317.328805
10.0,685,1319.468806
8.0,632,1321.450804
5.0,426,1322.788803
8.0,623,1324.77481
4.0,378,1325.872807
3.0,340,1326.816804
2.0,323,1327.726803
5.0,455,1329.078805
9.0,684,1331.328802
3.0,335,1332.302803
4.0,437,1333.666807
1.0,252,1334.372804
4.0,448,1335.726804
6.0,537,1337.332805
5.0,400,1549.35916
7.0,519,1551.07116
4.0,361,1552.085161
3.0,330,1553.023159
5.0,421,1554.269161
8.0,603,1556.081161
4.0,369,1557.177163
7.0,579,1558.931159
3.0,345,1559.915161
7.0,529,1561.543161
5.0,484,1562.993164
1.0,254,1563.663161
12.0,706,1565.91316
6.0,511,1567.48716
6.0,531,1569.111161
3.0,385,1570.221161
9.0,654,1572.221159
14.0,824,1574.865161
4.0,383,1575.97316
7.0,558,1783.404195
3.0,318,1784.306198
7.0,548,1786.034194
5.0,438,1787.372195
3.0,344,1788.402196
5.0,510,1789.92136
7.0,577,1791.697365
10.0,711,1793.951359
5.0,402,1795.149358
6.0,506,1796.703358
9.0,624,1798.697358
4.0,385,1799.879362
1.0,224,1800.46336
11.0,563,1802.141358
7.0,558,1803.801358
8.0,540,1805.505359
8.0,591,1807.269364
7.0,511,1808.79736
6.0,483,1810.36336
3.0,368,1811.387359
8.0,604,2017.137208
10.0,672,2019.265209
6.0,459,2020.63521
6.0,503,2022.203211
7.0,564,2023.90521
7.0,497,2025.40921
7.0,589,2027.283209
6.0,507,2028.839211
4.0,416,2030.073209
2.0,295,2030.865209
7.0,498,2032.385208
7.0,510,2033.973211
5.0,427,2035.28321
8.0,586,2037.159211
13.0,701,2039.429208
4.0,407,2040.619211
6.0,468,2042.05321
6.0,478,2043.49521
4.0,344,2044.539208
6.0,505,2250.968308
3.0,330,2251.922307
8.0,570,2253.718307
13.0,851,2256.426306
10.0,684,2258.646305
7.0,528,2260.194307
9.0,675,2262.308306
4.0,408,2263.526307
5.0,466,2265.010309
8.0,568,2266.730306
8.0,597,2268.562307
6.0,465,2269.958308
1.0,234,2270.566306
6.0,460,2271.958306
7.0,542,2273.628308
8.0,607,2275.488308
11.0,770,2277.838308
7.0,576,2488.339711
6.0,481,2489.805712
10.0,722,2492.113711
12.0,832,2494.879711
6.0,498,2496.403709
4.0,395,2497.50771
5.0,431,2498.833709
6.0,505,2500.399711
6.0,548,2502.005711
4.0,410,2503.16771
11.0,724,2505.43571
8.0,662,2507.46571
6.0,514,2509.00371
8.0,564,2510.81771
7.0,525,2512.48371
6.0,513,2514.099711
5.0,495,2515.55371
8.0,605,2723.206877
8.0,582,2725.018875
5.0,464,2726.390878
10.0,709,2728.618876
7.0,617,2730.542877
3.0,316,2731.452876
8.0,592,2733.318877
2.0,274,2734.058878
7.0,614,2735.978877
5.0,379,2737.064876
8.0,573,2738.808882
3.0,315,2739.67488
9.0,527,2741.384878
7.0,543,2743.040877
9.0,652,2745.022876
11.0,744,2747.398879
5.0,444,2748.662876
3.0,361,2749.690877
7.0,518,2751.248876
1.0,234,2956.486125
14.0,749,2958.888126
5.0,476,2960.300124
7.0,554,2962.022127
7.0,546,2963.670126
12.0,830,2966.360126
5.0,447,2967.614125
9.0,719,2969.854124
2.0,277,2970.658124
5.0,462,2972.052125
5.0,428,2973.362126
8.0,661,2975.360125
3.0,328,2976.336127
5.0,464,2977.726125
2.0,335,2978.630124
4.0,374,2979.782124
11.0,582,2981.564125
5.0,455,2982.938126
8.0,578,2984.714124
6.0,472,3189.607888
8.0,574,3191.419887
8.0,535,3193.037889
5.0,444,3194.397887
8.0,561,3196.199885
9.0,605,3198.087886
7.0,575,3199.825886
6.0,503,3201.383888
8.0,636,3203.353887
6.0,528,3204.977889
8.0,553,3206.619886
6.0,523,3208.131885
16.0,879,3210.945888
7.0,509,3212.439888
8.0,659,3214.561886
11.0,768,3423.58711
7.0,550,3425.32711
9.0,745,3427.648968
9.0,603,3429.500743
7.0,591,3431.314743
8.0,606,3433.124746
7.0,553,3434.808744
5.0,414,3436.030748
7.0,588,3437.816743
8.0,615,3439.694745
5.0,511,3441.196745
6.0,488,3442.722746
10.0,713,3444.940744
7.0,550,3446.598745
11.0,826,3449.234746
9.0,764,3451.530747
7.0,562,3654.146699
7.0,543,3655.864697
2.0,316,3656.748699
6.0,491,3658.230698
5.0,472,3659.590698
9.0,629,3661.524699
8.0,602,3663.360858
11.0,745,3665.680854
5.0,460,3667.028855
7.0,517,3668.612854
8.0,580,3670.368856
4.0,377,3671.474854
6.0,557,3673.176856
5.0,447,3674.520857
10.0,695,3676.712854
8.0,629,3678.680856
7.0,540,3680.274854
8.0,622,3883.647244
7.0,525,3885.253244
9.0,651,3887.221246
4.0,384,3888.317245
8.0,574,3890.037244
6.0,493,3891.531246
6.0,480,3892.965245
11.0,737,3895.273246
10.0,671,3897.367246
9.0,720,3899.571245
6.0,512,3901.081244
3.0,339,3902.049246
11.0,637,3904.013247
10.0,705,3906.229253
11.0,607,3908.099244
12.0,788,3910.587245
8.0,560,4115.175931
9.0,603,4117.045932
5.0,447,4118.375935
12.0,704,4120.611931
6.0,494,4122.071931
9.0,640,4124.039933
3.0,338,4124.955931
9.0,692,4127.073931
9.0,618,4128.961933
9.0,689,4131.099932
7.0,538,4132.709931
11.0,772,4135.121931
7.0,533,4136.739931
10.0,596,4138.549931
7.0,515,4140.219932
9.0,624,4142.099933
11.0,806,4351.108076
10.0,728,4353.340075
9.0,664,4355.404074
4.0,423,4356.620075
13.0,647,4358.576076
7.0,509,4360.082074
10.0,700,4362.176074
3.0,304,4363.048076
10.0,792,4365.478079
9.0,706,4367.624073
5.0,447,4368.886074
10.0,766,4371.274075
10.0,666,4373.282077
10.0,704,4375.492078
6.0,534,4377.092083
2.0,300,4578.889624
2.0,296,4579.733628
4.0,392,4580.921624
6.0,505,4582.377625
9.0,692,4584.5184
6.0,463,4585.924402
13.0,825,4588.506402
5.0,483,4589.910401
11.0,752,4592.258403
16.0,885,4595.018401
11.0,720,4597.316399
3.0,313,4598.184402
3.0,341,4599.1804
4.0,374,4600.252401
7.0,565,4601.94411
9.0,639,4603.890739
7.0,596,4605.710741
5.0,394,4807.649316
6.0,486,4809.103315
9.0,582,4810.855314
4.0,390,4811.993313
14.0,709,4814.203313
7.0,509,4815.763313
9.0,551,4817.427313
8.0,628,4819.311321
6.0,498,4820.799314
6.0,464,4822.215313
9.0,600,4824.093315
8.0,563,4825.813313
4.0,387,4826.849314
10.0,704,4829.053315
12.0,703,4831.165314
11.0,738,4833.461313
8.0,613,4835.299313
8.0,594,5037.829173
10.0,647,5039.879171
13.0,750,5042.215173
3.0,324,5043.139172
9.0,670,5045.231172
8.0,581,5047.005174
13.0,683,5049.091173
7.0,547,5050.743172
4.0,433,5051.983172
12.0,824,5054.593181
8.0,626,5056.495171
9.0,650,5058.497173
9.0,619,5060.429173
7.0,536,5062.021171
8.0,679,5064.139173
11.0,694,5272.807725
22.0,846,5275.511726
5.0,415,5276.725726
4.0,381,5277.821726
6.0,455,5279.157726
7.0,578,5280.923726
9.0,626,5282.853726
9.0,596,5284.637726
10.0,697,5286.851725
4.0,362,5287.861725
7.0,522,5289.395725
7.0,541,5290.986568
12.0,667,5293.026567
12.0,657,5295.002568
3.0,335,5295.996568
7.0,495,5297.464568
10.0,694,5499.93556
4.0,374,5501.071563
7.0,526,5502.635562
8.0,570,5504.40356
10.0,751,5506.747561
8.0,574,5508.483563
10.0,689,5510.61756
10.0,664,5512.667562
6.0,600,5514.523561
10.0,696,5516.703562
12.0,809,5519.237562
8.0,573,5521.013561
9.0,654,5523.053564
8.0,588,5524.817562
12.0,798,5527.333561
6.0,502,5730.041252
9.0,606,5731.891254
4.0,390,5732.967256
11.0,724,5735.347254
9.0,672,5737.391253
11.0,751,5739.787252
7.0,549,5741.467254
12.0,773,5743.939253
9.0,692,5746.073255
5.0,433,5747.397252
9.0,695,5749.575253
7.0,535,5751.141253
6.0,468,5752.605252
9.0,682,5754.687255
7.0,507,5756.197255
6.0,502,5757.695252
5.0,384,5961.035586
10.0,520,5962.631582
13.0,692,5964.769584
10.0,645,5966.807584
5.0,500,5968.291582
3.0,341,5969.233585
12.0,815,5971.803581
5.0,456,5973.095584
7.0,536,5974.701584
8.0,605,5976.581582
8.0,582,5978.371582
7.0,570,5980.105586
17.0,703,5982.295582
11.0,743,5984.663585
10.0,704,5986.857585
6.0,454,5988.243218
6.0,484,6197.38474
5.0,463,6198.766742
6.0,506,6200.22874
9.0,658,6202.24474
6.0,509,6203.794739
10.0,726,6206.038742
9.0,660,6208.052739
10.0,688,6210.17674
2.0,301,6210.98674
16.0,841,6213.62474
3.0,364,6214.63074
9.0,598,6216.492738
12.0,780,6218.920738
9.0,668,6221.01074
7.0,591,6222.760741
8.0,565,6426.160335
5.0,448,6427.480334
9.0,707,6429.700336
8.0,572,6431.418335
7.0,596,6433.222335
12.0,876,6435.968109
8.0,624,6437.89611
7.0,584,6439.61011
8.0,572,6441.306111
12.0,732,6443.552108
10.0,704,6445.704109
5.0,529,6447.320109
9.0,600,6449.146108
6.0,481,6450.574112
8.0,629,6452.452109
6.0,465,6453.828112
12.0,629,6657.677708
9.0,687,6659.765708
11.0,767,6662.285716
8.0,646,6664.227708
10.0,680,6666.255708
7.0,531,6667.90371
18.0,1001,6671.07971
9.0,634,6673.07171
6.0,526,6674.69171
18.0,969,6677.717708
6.0,444,6679.045713
9.0,661,6681.121709
7.0,565,6682.79571
7.0,523,6886.594162
5.0,450,6887.924162
11.0,750,6890.210162
11.0,729,6892.492162
4.0,391,6893.624164
10.0,656,6895.652162
8.0,653,6897.602162
8.0,600,6899.462162
2.0,298,6900.300164
4.0,401,6901.458162
8.0,589,6903.216163
9.0,691,6905.316164
10.0,646,6907.300166
12.0,757,6909.716168
6.0,495,6911.238164
7.0,555,6912.862164
7.0,557,6914.574162
7.0,487,7125.282373
11.0,737,7127.570373
10.0,758,7129.914372
5.0,524,7131.470372
8.0,553,7133.106374
8.0,632,7135.000372
8.0,619,7136.890375
3.0,334,7137.864373
13.0,645,7139.822373
6.0,505,7141.358373
9.0,692,7143.510372
7.0,484,7144.942373
7.0,525,7146.490371
7.0,561,7148.138371
11.0,643,7150.022372
