#{"t_start": 1670943835.536957, "env_id": "Breakout-v0"}
r,l,t
2.0,284,1.218613
1.0,261,1.998613
1.0,265,2.746614
2.0,329,3.677521
2.0,310,4.615523
2.0,341,5.717112
2.0,309,6.696173
2.0,295,7.57417
4.0,388,8.820173
3.0,363,9.88322
4.0,389,11.154794
1.0,236,11.800792
0.0,191,12.326792
4.0,440,13.679914
2.0,337,14.67991
2.0,306,15.708163
0.0,178,16.194162
3.0,324,17.240164
1.0,274,17.988162
0.0,201,18.526164
0.0,204,19.064374
0.0,211,19.586418
0.0,189,20.094417
0.0,223,20.670418
1.0,261,21.41242
3.0,355,22.597206
0.0,194,23.079209
1.0,262,23.853206
2.0,278,24.669206
1.0,254,25.431206
1.0,267,26.142391
0.0,210,26.65239
4.0,422,28.038389
3.0,391,29.233042
3.0,371,30.47904
1.0,260,31.261042
0.0,186,31.773041
0.0,199,32.238786
0.0,203,110.745435
1.0,255,111.469436
1.0,273,112.279435
3.0,343,113.333439
3.0,354,114.429435
2.0,331,115.387436
2.0,326,116.413435
1.0,258,117.129436
0.0,185,117.605436
2.0,299,118.483435
3.0,346,119.531436
0.0,216,120.061435
4.0,433,121.349438
0.0,193,121.799438
0.0,194,122.279437
2.0,280,123.115439
1.0,261,123.803436
0.0,219,124.341436
0.0,191,124.865435
6.0,542,126.602004
1.0,266,127.350004
2.0,298,128.242005
0.0,197,128.736006
2.0,319,129.708006
2.0,294,130.522005
0.0,208,131.002007
1.0,269,131.719235
1.0,245,132.399238
1.0,252,133.117237
3.0,344,134.153236
2.0,290,134.977235
3.0,378,136.189236
1.0,274,136.995236
0.0,202,137.493237
3.0,366,138.529235
0.0,190,139.069238
3.0,390,140.299236
0.0,192,140.733236
2.0,301,141.561236
0.0,180,142.049248
4.0,468,221.166564
1.0,239,221.808566
2.0,282,222.664566
0.0,208,223.178568
1.0,252,223.860564
2.0,330,224.862565
4.0,407,226.070564
7.0,561,227.822565
3.0,337,228.842565
1.0,243,229.470563
2.0,326,230.376567
0.0,196,230.850564
4.0,425,232.242566
0.0,209,232.768564
5.0,466,234.204565
4.0,425,235.562566
5.0,507,237.090564
8.0,543,238.846564
1.0,270,239.682564
1.0,249,240.322563
2.0,338,241.284565
1.0,263,242.014564
0.0,201,242.520564
3.0,325,243.550564
1.0,234,244.260564
1.0,268,245.254564
2.0,318,246.24628
4.0,440,247.606281
0.0,207,248.114285
3.0,377,249.23428
2.0,297,250.144281
0.0,195,250.664282
5.0,409,329.322193
4.0,384,330.576192
0.0,208,331.052193
2.0,287,331.902192
9.0,536,333.644192
4.0,445,334.902192
5.0,485,336.368192
2.0,292,337.250192
1.0,250,337.928192
4.0,413,339.242191
3.0,348,340.274192
2.0,309,341.090192
0.0,180,341.534195
4.0,411,342.724192
8.0,470,344.208192
